Date,Time,Open,High,Low,Close,Volume
2017.08.16,15:00,4123.65,4124.58,4123.08,4123.08,10
2017.08.16,16:00,4123.08,4123.6,4095.68,4122,1548
2017.08.16,17:00,4122.03,4122.19,4092.45,4110.19,1431
2017.08.16,18:00,4110.23,4317.73,4110.23,4298.19,1809
2017.08.16,19:00,4298.19,4363.16,4268.2,4286.73,2024
2017.08.16,20:00,4286.74,4313.19,4266.28,4278.21,1470
2017.08.16,21:00,4278.24,4295.34,4247.2,4295.34,1580
2017.08.16,22:00,4295.38,4303.19,4272.2,4290.4,1239
2017.08.16,23:00,4290.85,4337.2,4290.85,4336.2,955
2017.08.17,0:00,4335.82,4338.18,4296.21,4302.38,1799
2017.08.17,1:00,4302.38,4313.2,4271.42,4313.2,1901
2017.08.17,2:00,4313.26,4373.7,4309.87,4358.21,1741
2017.08.17,3:00,4358.22,4385.18,4324.41,4343.43,1780
2017.08.17,4:00,4341.28,4362.25,4293.94,4325.9,871
2017.08.17,5:00,4324.95,4325.19,4291.12,4321.21,1885
2017.08.17,6:00,4319.12,4321.21,4221.22,4268.21,1846
2017.08.17,7:00,4267.43,4305.83,4228.72,4291.26,1369
2017.08.17,8:00,4291.27,4314.08,4262.86,4301.1,881
2017.08.17,9:00,4301.13,4320.08,4293.2,4303.19,1361
2017.08.17,10:00,4298.88,4333.19,4279.22,4333.19,1510
2017.08.17,11:00,4333.29,4353.19,4331.7,4348.26,552
2017.08.17,12:00,4347.75,4433.19,4347.2,4433.19,968
2017.08.17,13:00,4431.2,4451.49,4408.87,4448.21,1116
2017.08.17,14:00,4448.22,4462.19,4408.2,4408.2,1494
2017.08.17,15:00,4406.45,4435.51,4398.75,4424.19,2119
2017.08.17,16:00,4423.2,4461.17,4418.2,4461.17,1636
2017.08.17,17:00,4461.18,4462.19,4430.85,4449.71,2142
2017.08.17,18:00,4449.65,4450.65,4343.2,4343.83,1224
2017.08.17,19:00,4343.82,4351.2,4248.38,4339.2,1875
2017.08.17,20:00,4338.24,4338.24,4256.38,4261.21,1161
2017.08.17,21:00,4261.21,4281.19,4208.65,4226.2,1495
2017.08.17,22:00,4225.22,4312.16,4173.22,4303.82,1216
2017.08.17,23:00,4299.97,4323.73,4237.25,4311.45,1069
2017.08.18,0:00,4312.34,4348.2,4301.37,4301.61,763
2017.08.18,1:00,4301.87,4327.22,4283.22,4308.21,473
2017.08.18,2:00,4308.93,4330.25,4268.21,4268.21,549
2017.08.18,3:00,4268.29,4304.46,4249.11,4249.11,939
2017.08.18,4:00,4248.51,4254.93,4188.56,4241.53,1154
2017.08.18,5:00,4241.03,4263.2,4238.21,4260,1615
2017.08.18,6:00,4260.05,4285.2,4248.22,4258.19,968
