Date,Time,Open,High,Low,Close,Volume
2011.03.20,0:00,0.8,0.9,0.8,0.8,30584
2011.03.27,0:00,0.8,0.8,0.7,0.7,36483
2011.04.03,0:00,0.8,0.8,0.6,0.7,96094
2011.04.10,0:00,0.7,1.1,0.7,1,240968
2011.04.17,0:00,1.1,2,1.1,1.8,228249
2011.04.24,0:00,1.7,4.2,1.5,3.5,339594
2011.05.01,0:00,3.5,3.9,2.5,3.6,129859
2011.05.08,0:00,3.6,8.9,3.6,7.2,289715
2011.05.15,0:00,7,8.5,5.6,6.1,228768
2011.05.22,0:00,6.1,9.3,6,8.3,191419
2011.05.29,0:00,8.3,18.9,8.1,18.9,289733
2011.06.05,0:00,18.9,31.9,13,14.7,641936
2011.06.12,0:00,14.7,25,10.3,16.9,360824
2011.06.19,0:00,16.9,18.9,16.9,17.6,15053
2011.06.26,0:00,17.5,18,14,15.4,181383
2011.07.03,0:00,15.4,16.5,11,14.4,394686
2011.07.10,0:00,14.4,15.7,13.5,13.7,179973
2011.07.17,0:00,13.7,14.7,12.5,13.7,255909
2011.07.24,0:00,13.7,14.7,13.3,13.5,151700
2011.07.31,0:00,13.5,14.9,5.7,6.5,442377
2011.08.07,0:00,6.5,12.1,6,10.1,346358
2011.08.14,0:00,10.1,11.9,9.6,11.4,136944
2011.08.21,0:00,11.5,11.6,7.7,8.6,242233
2011.08.28,0:00,8.6,9.5,8,8.5,108406
2011.09.04,0:00,8.5,8.5,4.2,4.8,600531
2011.09.11,0:00,4.8,7.4,4.5,4.8,314188
2011.09.18,0:00,4.8,6.8,4.8,5.5,349499
2011.09.25,0:00,5.5,5.5,4.7,5.1,200810
2011.10.02,0:00,5,5.1,3.7,4,280519
2011.10.09,0:00,4,4.4,3.7,3.8,245413
2011.10.16,0:00,3.8,3.9,2,3.1,676186
2011.10.23,0:00,3.2,3.9,2.5,3.6,464333
2011.10.30,0:00,3.6,3.7,2.9,3,235413
2011.11.06,0:00,3,3.2,2.8,3.1,245311
2011.11.13,0:00,3,3,2,2.2,876257
2011.11.20,0:00,2.2,2.6,2.1,2.5,306446
2011.11.27,0:00,2.5,3.2,2.4,2.8,681539
2011.12.04,0:00,2.8,3.1,2.6,3.1,401451
2011.12.11,0:00,3.1,3.4,3,3.2,232268
2011.12.18,0:00,3.2,4.5,3.2,4,548623
2011.12.25,0:00,3.9,5,3.7,4.7,485197
2012.01.01,0:00,4.7,7.2,4.6,6.8,831475
2012.01.08,0:00,6.8,7.2,5.8,6.7,762531
2012.01.15,0:00,6.8,7.2,4.7,6.2,854012
2012.01.22,0:00,6.2,6.5,5.1,5.6,562130
2012.01.29,0:00,5.6,6.2,5.3,5.9,460902
2012.02.05,0:00,5.9,6,5.3,5.6,681823
2012.02.12,0:00,5.6,5.9,3.9,4.2,1064879
2012.02.19,0:00,4.2,5.2,4.2,4.8,603239
2012.02.26,0:00,4.8,5.1,4.5,4.6,392427
2012.03.04,0:00,4.6,5.1,4.6,4.8,317834
2012.03.11,0:00,4.8,5.4,4.8,5.2,347994
2012.03.18,0:00,5.2,5.3,4.5,4.7,524471
2012.03.25,0:00,4.7,5,4.3,4.9,329792
2012.04.01,0:00,4.9,5.1,4.7,4.7,425104
